uid,arota,bladder,duodenum,esophagus,gall bladder,left adrenal gland,left kidney,liver,pancreas,postcava,prostate/uterus,right adrenal gland,right kidney,spleen,stomach
amos_0399,0.9359506545072351,0.7599244542912141,0.7914054155933907,0.8691134098531009,0.9371747211895911,0.7762514551804424,0.9586576289660576,0.970244868863452,0.8774093048257402,0.7866675918858279,,0.737218251786696,0.9598096151455414,0.9590973504530425,0.8910250730929388
amos_0106,0.9336287065342553,0.7287103914259087,0.8048048760242378,0.854423560397462,0.0,0.7593535532433031,0.9531253011583756,0.972967409818977,0.8360080475366116,0.7502726281352236,,0.8192571072836689,0.9399326550563019,0.9688426527958387,0.970341782466031
amos_0231,0.9423266569184208,0.8310589432833921,0.7843151095895246,0.923755513547574,0.9041601128166188,0.8367203924316748,0.9507032124520821,0.9664344016040313,0.8827985165456707,0.7382170350136578,,0.7847549909255899,0.9527392992378853,0.9517160949087953,0.9473371782411584
amos_0596,0.0,0.22868030401373507,0.13208683709611355,0.0,0.0,0.0,0.00018686567861439098,0.7690638348922059,0.0,0.15940851478713033,,0.0,0.10774298509350334,0.28744713309437286,0.35025869646456936
amos_0214,0.9214323313852258,0.9247202691309722,0.8324880814048196,0.8128735819135526,0.8757426817473006,0.8003169572107766,0.9640050779597018,0.9762813221659257,0.8987071284723823,0.8667042102952266,,0.7750550660792952,0.9659166349766998,0.9667233950103198,0.9423022874187436
amos_0190,0.9164559068219634,0.8695828231505673,0.3258019893287662,0.8366050808314087,,0.6914986853637161,0.9565094242455454,0.9386762759153094,0.6816905046330675,0.8160413574243742,,0.591044776119403,0.9651684476710988,0.9162126954050214,0.0
amos_0346,0.941066066066066,0.8942976814748854,0.8276757913236165,0.8732855165471247,0.8553064537357961,0.2233152975897688,0.9643793935578638,0.944612544734303,0.6167864646688046,0.9169724937320591,,0.7654798761609907,0.9590578206917362,0.9542021566735199,0.863823252106803
amos_0216,0.9348438716986476,0.4104713081335574,0.7305329255419926,0.8487011520216852,0.8614745078860496,0.7168485296837432,0.9605448594421403,0.9673861061396756,0.8401595354039794,0.7890800299177263,,0.7551534925107519,0.9592405644143628,0.9534824449619898,0.9561818187878229
amos_0278,0.9158193526520929,0.9467350148316545,0.7887766814240381,0.8985421226397596,0.9301940788640604,0.770227067792442,0.9625233072118707,0.9673993295458203,0.9103407800281492,0.872867112552825,,0.7950184501845018,0.963913162168795,0.957385764313742,0.9569283764566112
amos_0035,0.8813695466639891,0.858933772318602,0.6643901988833003,0.8279534109816972,0.8607061599393275,0.6788475052705552,0.9441082348468046,0.9471073284450026,0.7555133481059407,0.6687963304255232,,0.5875706214689266,0.9138005640191588,0.9504394777903753,0.9153839084685016
amos_0050,0.843448126835749,0.9014571462488129,0.5326300452772424,0.70354588342718,0.8638009398351437,0.6556730596881162,0.9193625927793346,0.9343741200128863,0.7630193407355078,0.3617878949552433,,0.4909213180901143,0.924414784001225,0.9042605742513121,0.907954370796186
amos_0109,0.8964765710134399,0.22283680547684356,0.5839479392624729,0.7799385875127943,0.8281987751858259,0.5646283412669352,0.8652447293798545,0.9487755258500098,0.7740560003790212,0.6505950733462497,,0.4624277456647399,0.9150507660691395,0.8336574070338785,0.8998909857998386
amos_0585,0.947931311508335,,0.41875757051392976,0.7326355851569933,,0.6438152011922503,0.9529171535474429,0.9269089572489778,0.678742505472195,0.7986622073578595,,0.6970889063729347,0.9428063416802489,0.9666101345106379,0.6643073554497543
amos_0152,0.9399437771530795,0.8412779576917978,0.49581054638502836,0.7227722772277227,0.0059200789343857915,0.7684373388344508,0.9692938086917425,0.9466632624148807,0.7479617157036512,0.8962042466710418,,0.448062015503876,0.9680206852550398,0.9092315933575382,0.9213067191665332
amos_0242,0.9142516698186429,0.6946040073073279,0.7668453954683601,0.8358834442868056,0.46943240021483124,0.7520358306188925,0.9537230209005045,0.7979771230552771,0.8708433290274958,0.8266837465417701,,0.8478165938864629,0.9602680043741647,0.9627563576702215,0.8865138835757159
amos_0272,0.9428489752836661,0.6529551474154118,0.7959191717468993,0.9050305411819632,0.860771377161186,0.7647930988003774,0.9597477893656238,0.9728239293682168,0.8905725449909193,0.8573828430390706,,0.7451574869462692,0.9552193329649157,0.957116416905934,0.9307521549438453
amos_0086,0.9323621777109229,0.7927426488037451,0.7419532462331682,0.8453014184397163,0.9225868388898586,0.835030549898167,0.9579701257172895,0.9696326255476913,0.8486364097191714,0.8641530291014827,,0.7763599731363331,0.9627909204099224,0.9546203415987153,0.9507820870635667
amos_0280,0.9344839080034073,0.9449850787196983,0.7382362728785358,0.8541840422574367,0.8906111833550066,0.7458928952421592,0.9494270884340417,0.9636840771199124,0.8336392577508819,0.8198418311579759,,0.6447709593777009,0.9573382674617206,0.953916301480206,0.9519989690239714
amos_0307,0.8996854403834631,0.7916097256743495,0.5760826468126349,0.8048824527824925,0.9208202116828073,0.8175206341423552,0.96121366759403,0.9733563923683713,0.8439930825886551,0.7940864773208987,,0.7439588688946015,0.9618534249749016,0.9632856361385426,0.943338357794526
amos_0553,0.6788934268320875,,0.05585078670417839,0.585950692333671,0.0,0.6660854402789886,0.8778427467941807,0.9147672056928557,0.3000090719404881,0.6554744159200984,,0.3897058823529412,0.9210460647801567,0.9020769154327736,0.560699455806876
amos_0021,0.8864540775720274,0.8924108353257253,0.6529198660256557,0.6425958326705901,,0.6426592797783933,0.9466428268950265,0.9651142007226117,0.5528487076213193,0.8636802421143259,,0.6752037252619325,0.9529012951212547,0.9543173572656101,0.8547004605638593
